Time/s,Volts/V
0.0,0.04
4.001600640256103e-06,0.04
8.003201280512205e-06,0.0
1.2004801920768307e-05,0.0
1.600640256102441e-05,0.0
2.0008003201280514e-05,0.0
2.4009603841536614e-05,0.04
2.8011204481792718e-05,0.04
3.201280512204882e-05,0.0
3.6014405762304925e-05,0.04
4.001600640256103e-05,0.04
4.401760704281713e-05,0.04
4.801920768307323e-05,0.0
5.202080832332933e-05,0.0
5.6022408963585436e-05,0.0
6.002400960384154e-05,0.0
6.402561024409764e-05,0.0
6.802721088435374e-05,0.0
7.202881152460985e-05,0.04
7.603041216486595e-05,0.0
8.003201280512206e-05,0.04
8.403361344537815e-05,0.04
8.803521408563426e-05,0.04
9.203681472589036e-05,0.0
9.603841536614646e-05,0.0
0.00010004001600640257,0.0
0.00010404161664665866,0.04
0.00010804321728691477,0.04
0.00011204481792717087,0.04
0.00011604641856742698,0.04
0.00012004801920768308,0.04
0.0001240496198479392,0.0
0.00012805122048819529,0.04
0.00013205282112845138,0.04
0.00013605442176870748,0.04
0.0001400560224089636,0.0
0.0001440576230492197,0.0
0.0001480592236894758,0.0
0.0001520608243297319,0.04
0.00015606242496998802,0.04
0.00016006402561024411,0.04
0.0001640656262505002,0.04
0.0001680672268907563,0.04
0.0001720688275310124,0.04
0.00017607042817126853,0.0
0.00018007202881152462,0.0
0.00018407362945178072,0.04
0.00018807523009203682,-0.04
0.00019207683073229291,0.0
0.00019607843137254904,0.04
0.00020008003201280514,0.04
0.00020408163265306123,0.04
0.00020808323329331733,0.04
0.00021208483393357345,0.04
0.00021608643457382955,0.0
0.00022008803521408565,0.0
0.00022408963585434174,0.0
0.00022809123649459784,0.0
0.00023209283713485396,0.0
0.00023609443777511006,0.04
0.00024009603841536616,0.04
0.00024409763905562225,0.04
0.0002480992396958784,0.0
0.00025210084033613445,0.04
0.00025610244097639057,0.0
0.0002601040416166467,0.0
0.00026410564225690276,0.0
0.0002681072428971589,0.0
0.00027210884353741496,0.0
0.0002761104441776711,0.04
0.0002801120448179272,0.04
0.0002841136454581833,0.04
0.0002881152460984394,0.04
0.00029211684673869547,0.04
0.0002961184473789516,0.0
0.0003001200480192077,0.0
0.0003041216486594638,0.0
0.0003081232492997199,0.0
0.00031212484993997603,0.0
0.0003161264505802321,0.04
0.00032012805122048823,0.04
0.0003241296518607443,0.04
0.0003281312525010004,0.04
0.00033213285314125654,0.04
0.0003361344537815126,0.0
0.00034013605442176874,0.0
0.0003441376550620248,0.0
0.00034813925570228093,0.0
0.00035214085634253706,0.0
0.0003561424569827931,0.0
0.00036014405762304925,0.04
0.0003641456582633053,0.0
0.00036814725890356144,0.04
0.00037214885954381757,0.04
0.00037615046018407364,0.04
0.00038015206082432976,0.04
0.00038415366146458583,0.0
0.00038815526210484195,0.0
0.0003921568627450981,0.04
0.00039615846338535415,0.04
0.00040016006402561027,0.0
0.0004041616646658664,0.04
0.00040816326530612246,0.04
0.0004121648659463786,0.04
0.00041616646658663466,0.04
0.0004201680672268908,0.0
0.0004241696678671469,0.0
0.000428171268507403,0.0
0.0004321728691476591,0.0
0.00043617446978791517,0.04
0.0004401760704281713,0.04
0.0004441776710684274,0.04
0.0004481792717086835,0.04
0.0004521808723489396,0.04
0.0004561824729891957,0.04
0.0004601840736294518,0.0
0.0004641856742697079,0.0
0.000468187274909964,0.0
0.0004721888755502201,0.0
0.00047619047619047624,0.0
0.0004801920768307323,0.04
0.00048419367747098844,0.04
0.0004881952781112445,0.04
0.0004921968787515006,0.04
0.0004961984793917568,0.0
0.0005002000800320128,0.04
0.0005042016806722689,0.04
0.0005082032813125251,0.0
0.0005122048819527811,0.04
0.0005162064825930372,0.04
0.0005202080832332934,0.04
0.0005242096838735495,0.04
0.0005282112845138055,0.04
0.0005322128851540617,0.04
0.0005362144857943178,0.04
0.0005402160864345738,0.0
0.0005442176870748299,0.0
0.0005482192877150861,0.04
0.0005522208883553422,0.0
0.0005562224889955982,0.0
0.0005602240896358544,0.0
0.0005642256902761105,0.0
0.0005682272909163666,0.04
0.0005722288915566227,0.04
0.0005762304921968788,0.04
0.0005802320928371349,0.04
0.0005842336934773909,0.0
0.0005882352941176471,0.0
0.0005922368947579032,0.0
0.0005962384953981593,0.0
0.0006002400960384154,0.0
0.0006042416966786715,0.04
0.0006082432973189276,0.04
0.0006122448979591838,0.04
0.0006162464985994398,0.04
0.0006202480992396959,0.04
0.0006242496998799521,0.0
0.0006282513005202081,0.04
0.0006322529011604642,0.0
0.0006362545018007203,0.0
0.0006402561024409765,0.04
0.0006442577030812325,0.0
0.0006482593037214886,0.04
0.0006522609043617448,0.04
0.0006562625050020008,0.04
0.0006602641056422569,0.04
0.0006642657062825131,0.04
0.0006682673069227692,0.0
0.0006722689075630252,0.0
0.0006762705082032813,0.0
0.0006802721088435375,0.0
0.0006842737094837935,0.04
0.0006882753101240496,0.04
0.0006922769107643058,0.04
0.0006962785114045619,0.04
0.0007002801120448179,0.0
0.0007042817126850741,0.04
0.0007082833133253302,0.0
0.0007122849139655863,0.0
0.0007162865146058424,-0.04
0.0007202881152460985,0.0
0.0007242897158863546,0.04
0.0007282913165266106,0.04
0.0007322929171668668,0.04
0.0007362945178071229,0.04
0.000740296118447379,0.0
0.0007442977190876351,0.04
0.0007482993197278912,0.04
0.0007523009203681473,0.0
0.0007563025210084034,0.0
0.0007603041216486595,0.04
0.0007643057222889156,0.0
0.0007683073229291717,0.04
0.0007723089235694278,0.04
0.0007763105242096839,0.04
0.00078031212484994,0.04
0.0007843137254901962,0.04
0.0007883153261304522,0.04
0.0007923169267707083,0.0
0.0007963185274109645,0.04
0.0008003201280512205,0.0
0.0008043217286914766,0.04
0.0008083233293317328,0.0
0.0008123249299719889,0.04
0.0008163265306122449,0.04
0.000820328131252501,0.04
0.0008243297318927572,0.04
0.0008283313325330132,0.0
0.0008323329331732693,0.0
0.0008363345338135255,0.0
0.0008403361344537816,0.0
0.0008443377350940376,0.0
0.0008483393357342938,0.0
0.0008523409363745499,0.0
0.000856342537014806,0.04
0.0008603441376550621,0.04
0.0008643457382953182,0.04
0.0008683473389355743,0.04
0.0008723489395758303,0.0
0.0008763505402160865,0.0
0.0008803521408563426,0.0
0.0008843537414965987,0.0
0.0008883553421368548,0.04
0.0008923569427771109,0.04
0.000896358543417367,0.04
0.0009003601440576231,0.04
0.0009043617446978792,0.04
0.0009083633453381353,0.04
0.0009123649459783914,0.04
0.0009163665466186475,0.0
0.0009203681472589036,0.0
0.0009243697478991597,0.0
0.0009283713485394159,0.0
0.0009323729491796719,0.04
0.000936374549819928,0.04
0.0009403761504601842,0.04
0.0009443777511004402,0.04
0.0009483793517406963,0.04
0.0009523809523809525,0.0
0.0009563825530212086,0.0
0.0009603841536614646,0.0
0.0009643857543017207,0.0
0.0009683873549419769,0.0
0.0009723889555822329,0.0
0.000976390556222489,2.84
0.000980392156862745,-1.12
0.0009843937575030012,0.0
0.0009883953581432574,-2.84
0.0009923969587835135,0.76
0.0009963985594237696,-2.0
0.0010004001600640256,-0.56
0.0010044017607042817,0.04
0.0010084033613445378,-2.08
0.001012404961984794,1.12
0.0010164065626250501,-1.44
0.0010204081632653062,-0.52
0.0010244097639055623,0.52
0.0010284113645458184,-1.6
0.0010324129651860744,1.52
0.0010364145658263305,-1.04
0.0010404161664665868,-0.16
0.0010444177671068428,0.84
0.001048419367747099,-1.32
